職缺名稱,連結,薪資,地點,學歷,經歷
儲備模組副工程師 (台南),https://www.104.com.tw/job/76avm,待遇面議,台南市善化區,大學,經歷不拘
廠務助理工程師(裝機工程),https://www.104.com.tw/job/7g7h8,"月薪33,800以上",台南市善化區,高中以上,經歷不拘
實驗室技術員,https://www.104.com.tw/job/78he6,"月薪32,000~43,000元",新竹市,高中以上,經歷不拘
Equipment Buyer- 身心障礙人才招募,https://www.104.com.tw/job/7h8dm,待遇面議,新竹市,大學以上,經歷不拘
DL技術員-Administrative Supports-身心障礙人才招募,https://www.104.com.tw/job/7gl8o,"月薪32,000~43,000元",新竹市,高中以上,1年以上
研發製程中心 - 工程技術員-身心障礙人才招募,https://www.104.com.tw/job/7gl8q,"月薪32,000~43,000元",新竹市,高中以上,經歷不拘
R&D 製程研發資訊技術專案工程師-身心障礙人才招募,https://www.104.com.tw/job/7gl8z,待遇面議,新竹市,碩士以上,經歷不拘
研發製程中心 - 製程工程師-身心障礙人才招募,https://www.104.com.tw/job/7gl9r,待遇面議,新竹市,碩士以上,經歷不拘
R&D AI / ML 研發工程師-身心障礙人才招募,https://www.104.com.tw/job/7gla6,待遇面議,新竹市,碩士以上,經歷不拘
研發製程中心 - 製造部課長(四二輪) - 身心障礙人才招募,https://www.104.com.tw/job/7glaw,待遇面議,新竹市,碩士以上,經歷不拘
R&D培訓支援工程師-身心障礙人才招募,https://www.104.com.tw/job/7glb8,待遇面議,新竹市,碩士以上,經歷不拘
Digital IC designer-身心障礙人才招募,https://www.104.com.tw/job/7glbj,待遇面議,新竹市,大學以上,經歷不拘
R&D設備及製程模擬工程師-身心障礙人才招募,https://www.104.com.tw/job/7glbp,待遇面議,新竹市,碩士以上,經歷不拘
FEMP Engineer-身心障礙人才招募,https://www.104.com.tw/job/7glbx,待遇面議,新竹市,碩士以上,經歷不拘
RD Process engineer-身心障礙人才招募,https://www.104.com.tw/job/7glc5,待遇面議,新竹市,碩士以上,經歷不拘
元件模型工程師-身心障礙人才招募,https://www.104.com.tw/job/7glc9,待遇面議,新竹市,碩士以上,經歷不拘
RD AI and SW 工程師-身心障礙人才招募,https://www.104.com.tw/job/7glcm,待遇面議,新竹市,碩士以上,1年以上
3DIC 熱傳研發工程師-身心障礙人才招募,https://www.104.com.tw/job/7gvpd,待遇面議,新竹市,碩士以上,經歷不拘
Process Engineer-身心障礙人才招募,https://www.104.com.tw/job/7gvpk,待遇面議,新竹市,碩士以上,經歷不拘
3DIC 模擬研發工程師-身心障礙人才招募,https://www.104.com.tw/job/7gvpr,待遇面議,新竹市,碩士以上,經歷不拘
Simulation Engineer-身心障礙人才招募,https://www.104.com.tw/job/7gvro,待遇面議,新竹市,碩士以上,經歷不拘
OPC研發工程師-身心障礙人才招募,https://www.104.com.tw/job/7gvrp,待遇面議,新竹市,碩士以上,經歷不拘
Design Rule Engineer-身心障礙人才招募,https://www.104.com.tw/job/7gvrw,待遇面議,新竹市,碩士以上,經歷不拘
